,pre_id,pre_pt,post_id,post_pt,pre_roots,post_roots
43532,73256887755241592,[36755 91731  2725],73256887755436740,[36761 91703  2725],648518346706280104,648518346706280104
62372,73046331413080344,[ 29967 108393   3037],73046331413087225,[ 29983 108415   3038],648518346703051824,648518346706280104
62400,73046331413080332,[ 29995 108369   3034],73046331413075426,[ 30023 108395   3033],648518346703051824,648518346706280104
62419,73046331413061953,[ 30025 108353   3026],73046331413073051,[ 30041 108389   3027],648518346703051824,648518346706280104
62467,73046331413080332,[ 30079 108271   3033],73046331413080311,[ 30089 108303   3035],648518346703051824,648518346706280104
146678,73257368724853038,[ 37561 107343   2659],73257368724842894,[ 37597 107357   2659],648518346694188607,648518346706280104
146732,73257368724832265,[ 37721 107259   2657],73257368724840188,[ 37729 107237   2658],648518346703171496,648518346706280104
158435,73116768742609906,[ 33265 110713   2807],73116768742594273,[ 33269 110675   2808],648518346730252507,648518346706280104
158490,73116768742586388,[ 33453 110651   2812],73116768742589082,[ 33417 110649   2812],648518346688183262,648518346706280104
158496,73116768742586388,[ 33459 110653   2814],73116768742604684,[ 33427 110667   2815],648518346688183262,648518346706280104
158515,73116768742627872,[ 33451 110699   2818],73116768742627872,[ 33449 110691   2818],648518346706280104,648518346706280104
158523,73116768742609907,[ 33477 110661   2820],73116768742627872,[ 33475 110695   2820],648518346688183262,648518346706280104
158541,73116768742615104,[ 33471 110751   2820],73116768742622821,[ 33491 110725   2821],648518346730252507,648518346706280104
234802,73187000047440904,[ 33977 106831   2728],73187000047495846,[ 33993 106801   2729],648518346738515931,648518346706280104
309256,73468475024287555,[ 42573 107079   2723],73468475024247933,[ 42561 107117   2724],648518346711558285,648518346706280104
309264,73468475024218392,[ 42695 107347   2730],73468475024250648,[ 42689 107319   2732],648518346696712255,648518346706280104
309265,73468475024218392,[ 42705 107343   2729],73468475024250648,[ 42703 107315   2729],648518346696712255,648518346706280104
309269,73468475024201853,[ 42769 107195   2721],73468475024249110,[ 42773 107199   2724],648518346694267455,648518346706280104
312691,73398312438887977,[ 40131 112221   2832],73398312438883913,[ 40125 112199   2833],648518346708549800,648518346706280104
312714,73398312438887977,[ 40147 112211   2832],73398312438883913,[ 40149 112193   2834],648518346708549800,648518346706280104
312885,73398312438914727,[ 40317 112183   2844],73398312438958305,[ 40343 112167   2844],648518346708549800,648518346706280104
312914,73398312438924187,[ 40355 111907   2845],73398312439041966,[ 40369 111897   2847],648518346726968901,648518346706280104
312944,73398312438883970,[ 40429 112215   2833],73398312438888015,[ 40413 112239   2834],648518346726968901,648518346706280104
312951,73398312438883970,[ 40439 112215   2834],73398312438888015,[ 40421 112235   2835],648518346726968901,648518346706280104
312957,73398312438883970,[ 40449 112217   2835],73398312438888015,[ 40423 112233   2836],648518346726968901,648518346706280104
312959,73398312505689070,[ 40395 111907   2855],73398312505461387,[ 40429 111897   2854],648518346662500681,648518346706280104
313109,73398312505730070,[ 40621 111649   2865],73398312505701400,[ 40635 111649   2863],648518346678844914,648518346706280104
337383,73116700022934458,[ 33317 107939   2737],73116700022923877,[ 33297 107905   2738],648518346737680347,648518346706280104
349621,73116631169431684,[ 32871 107459   2558],73116631169485084,[ 32867 107423   2559],648518346661938249,648518346706280104
