,name,cell_type,pt_position,pt_root_id,soma_x_nm,soma_y_nm,soma_z_nm,found
0,MN_A101_T1L,,"[13329, 114635, 1861]",648518346704067890,57314.7,492930.5,83745.0,
1,MN_A101_T1R,,"[63394, 114393, 2304]",648518346662254153,272594.2,491889.89999999997,103680.0,
2,MN_A102_T1L,,"[11729, 116735, 1478]",648518346682057412,50434.7,501960.5,66510.0,
3,MN_A102_T1R,,"[63084, 116459, 2863]",648518346676423055,271261.2,500773.69999999995,128835.0,
4,MN_A103_T1R,,"[59659, 115855, 2065]",648518346702534824,256533.69999999998,498176.5,92925.0,
5,MN_A103_T1L,,"[11085, 115493, 1681]",648518346689162849,47665.5,496619.89999999997,75645.0,
6,MN_A104_T1L,,"[9701, 116883, 1629]",648518346689120865,41714.299999999996,502596.89999999997,73305.0,
7,MN_A104_T1R,,"[64871, 116643, 2615]",648518346659995977,278945.3,501564.89999999997,117675.0,
8,MN_A201_T1L,,"[14058, 115317, 1758]",648518346726558467,60449.399999999994,495863.1,79110.0,
9,MN_A201_T1R,,"[62839, 114736, 2779]",648518346682807026,270207.7,493364.8,125055.0,
10,MN_A202_T1L,,"[10872, 118153, 1266]",648518346689116769,46749.6,508057.89999999997,56970.0,
11,MN_A202_T1R,,"[63354, 114424, 2857]",648518346696497118,272422.2,492023.19999999995,128565.0,
12,MN_A301_T1L,,"[17583, 86886, 2142]",648518346696470630,75606.9,373609.8,96390.0,
13,MN_A301_T1R,,"[53952, 83831, 2023]",648518346699520319,231993.59999999998,360473.3,91035.0,
14,MN_A302_T1L,,"[22736, 85820, 2309]",648518346700843809,97764.8,369026.0,103905.0,
15,MN_A302_T1R,,"[55403, 87512, 2040]",648518346679668978,238232.9,376301.6,91800.0,
16,MN_A303_T1L,,"[21575, 87200, 2242]",648518346729150467,92772.5,374960.0,100890.0,
17,MN_A303_T1R,,"[50277, 89558, 2464]",648518346679646706,216191.09999999998,385099.39999999997,110880.0,
18,MN_A401_T1L,,"[24350, 87262, 2285]",648518346661194538,104705.0,375226.6,102825.0,
19,MN_A401_T1R,,"[52291, 87723, 2256]",648518346725166405,224851.3,377208.89999999997,101520.0,
20,MN_A402_T1L,,"[19270, 88811, 2289]",648518346682395562,82861.0,381887.3,103005.0,
21,MN_A402_T1R,,"[55720, 87565, 2151]",648518346660605769,239596.0,376529.5,96795.0,
22,MN_A501_T1L,,"[26181, 89068, 2521]",648518346703985272,112578.29999999999,382992.39999999997,113445.0,
23,MN_A501_T1R,,"[47413, 87016, 2611]",648518346680376818,203875.9,374168.8,117495.0,
24,MN_D101_T1R,,"[49611, 86600, 2367]",648518346658396489,213327.3,372380.0,106515.0,
25,MN_D101_T1L,,"[28385, 88521, 2251]",648518346726264323,122055.5,380640.3,101295.0,
26,MN_D102_T1R,,"[46817, 85529, 2115]",648518346662176585,201313.1,367774.7,95175.0,
27,MN_D102_T1L,,"[26759, 87253, 2174]",648518346711046234,115063.7,375187.89999999997,97830.0,
28,MN_D201_T1R,,"[56980, 88953, 1882]",648518346662074953,245014.0,382497.89999999997,84690.0,
29,MN_D201_T1L,,"[31494, 89253, 1423]",648518346726249475,135424.19999999998,383787.89999999997,64035.0,
30,MN_D202_T1R,,"[57123, 89956, 2003]",648518346707880824,245628.9,386810.8,90135.0,
31,MN_D202_T1L,,"[26568, 89275, 1711]",648518346726269187,114242.4,383882.5,76995.0,
32,MN_L1_b01_T1R,,"[56585, 87472, 2864]",648518346684155095,243315.5,376129.6,128880.0,
33,MN_L1_b01_T1L,,"[21114, 89632, 2517]",648518346726213359,90790.2,385417.6,113265.0,
34,MN_L1_b02_T1R,,"[55792, 86474, 2850]",648518346697839423,239905.59999999998,371838.2,128250.0,
35,MN_L1_b02_T1L,,"[21789, 88220, 2578]",648518346696256870,93692.7,379346.0,116010.0,
36,MN_L1_b03_T1R,,"[50254, 84462, 2603]",648518346680376791,216092.19999999998,363186.6,117135.0,
37,MN_L1_b03_T1L,,"[22898, 87329, 2528]",648518346707145080,98461.4,375514.7,113760.0,
38,MN_L1_b04_T1L,,"[20938, 91662, 2708]",648518346697120358,90033.4,394146.6,121860.0,
39,MN_L1_b04_T1R,,"[56540, 87205, 2684]",648518346713855834,243122.0,374981.5,120780.0,
40,MN_L1_b05_T1R,,"[52198, 90252, 3100]",648518346662363721,224451.4,388083.6,139500.0,
41,MN_L1_b05_T1L,,"[17597, 90020, 2740]",648518346697111398,75667.09999999999,387086.0,123300.0,
42,MN_L101_T1R,,"[55504, 89665, 2706]",648518346701393983,238667.19999999998,385559.5,121770.0,
43,MN_L101_T1L,,"[18229, 89516, 2400]",648518346697281126,78384.7,384918.8,108000.0,
44,MN_L102_T1R,,"[55099, 86761, 2472]",648518346694368734,236925.69999999998,373072.3,111240.0,
45,MN_L102_T1L,,"[21341, 89358, 2718]",648518346696279398,91766.3,384239.39999999997,122310.0,
46,MN_L103_T1L,,"[20102, 90956, 2536]",648518346684196522,86438.59999999999,391110.8,114120.0,
47,MN_L103_T1R,,"[51575, 87958, 2719]",648518346730375387,221772.5,378219.39999999997,122355.0,
